"","Jurisdiction","Date","New.Cases","X7.day.Average.New.Cases","Cumulative.cases","Population..2018.","New.Case.Rate","X7.Day.Average.New.Case.Rate","Cumulative.Case.Rate","County.FIPS.Code","Longitude","Latitude","Georeferenced.Lat...Long","Date_adj","phase","phase2"
"16976","Centre",2020-05-20,1,0.9,142,162805,0.6,0.5,87.2,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-05-06,"yellow","red"
"17157","Centre",2020-07-16,8,4.3,271,162805,4.9,2.6,166.5,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-07-02,"green","green"
"17236","Centre",2020-04-07,3,4,64,162805,1.8,2.5,39.3,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-03-24,"red","local"
"17316","Centre",2020-08-17,6,3.9,403,162805,3.7,2.4,247.5,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-08-03,"return","green"
"17500","Centre",2020-07-30,4,7,354,162805,2.5,4.3,217.4,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-07-16,"green","green"
"17566","Centre",2020-05-03,3,3,115,162805,1.8,1.8,70.6,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-04-19,"red","red"
"17713","Centre",2020-06-21,5,1.9,188,162805,3.1,1.1,115.5,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-06-07,"green","green"
"17825","Centre",2020-03-21,0,0.1,1,162805,0,0.1,0.6,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-03-07,"local","pop"
"17840","Centre",2020-07-31,0,5.9,354,162805,0,3.6,217.4,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-07-17,"green","green"
"18013","Centre",2020-04-18,0,0.6,81,162805,0,0.4,49.8,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-04-04,"red","red"
"18134","Centre",2020-06-28,0,2,202,162805,0,1.2,124.1,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-06-14,"green","green"
"18193","Centre",2020-08-12,3,2.4,383,162805,1.8,1.5,235.3,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-07-29,"green","green"
"18349","Centre",2020-05-27,1,1.3,151,162805,0.6,0.8,92.7,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-05-13,"yellow","yellow"
"18403","Centre",2020-08-07,2,2.6,372,162805,1.2,1.6,228.5,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-07-24,"green","green"
"18508","Centre",2020-06-09,1,0.7,162,162805,0.6,0.4,99.5,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-05-26,"green","yellow"
"19016","Centre",2020-05-08,0,3.1,127,162805,0,1.9,78,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-04-24,"yellow","red"
"19098","Centre",2020-03-17,0,0,0,162805,0,0,0,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-03-03,"pop","base"
