date,visit_counts
2020-08-20,17379
2020-08-21,19883
2020-08-22,18225
2020-08-23,12867
2020-08-24,13238
2020-08-25,12970
2020-08-26,12642
2020-08-27,12496
2020-08-28,12342
2020-08-29,13178
2020-08-30,9594
2020-08-31,11025
2020-09-01,12323
2020-09-02,10991
2020-09-03,11104
2020-09-04,12350
2020-09-05,11958
2020-09-06,8886
2020-09-07,7466
2020-09-08,9679
2020-09-09,10052
2020-09-10,10283
2020-09-11,13169
2020-09-12,12637
2020-09-13,8043
2020-09-14,9552
2020-09-15,8735
2020-09-16,9973
2020-09-17,9849
2020-09-18,10211
2020-09-19,10002
2020-09-20,6912
2020-09-21,7983
2020-09-22,8907
2020-09-23,9948
2020-09-24,9759
2020-09-25,11695
2020-09-26,10892
2020-09-27,8072
2020-09-28,9447
2020-09-29,9059
2020-09-30,9845
2020-10-01,10322
2020-10-02,11479
2020-10-03,11510
2020-10-04,7009
2020-10-05,8885
2020-10-06,8643
2020-10-07,9910
2020-10-08,10418
2020-10-09,11526
2020-10-10,11038
2020-10-11,8329
2020-10-12,9087
2020-10-13,9567
2020-10-14,9577
2020-10-15,10404
2020-10-16,11381
2020-10-17,11579
2020-10-18,7954
2020-10-19,8941
2020-10-20,9293
2020-10-21,9848
2020-10-22,10291
2020-10-23,11899
2020-10-24,10816
2020-10-25,7602
2020-10-26,9055
2020-10-27,9482
2020-10-28,10034
2020-10-29,9866
2020-10-30,12487
2020-10-31,10853
2020-11-01,7002
2020-11-02,8814
2020-11-03,9558
2020-11-04,8889
2020-11-05,8669
2020-11-06,10288
2020-11-07,9927
2020-11-08,6895
2020-11-09,8032
2020-11-10,8560
2020-11-11,8942
2020-11-12,9192
2020-11-13,10836
2020-11-14,9802
2020-11-15,6560
2020-11-16,8261
2020-11-17,8217
2020-11-18,8251
2020-11-19,8919
2020-11-20,9373
2020-11-21,7986
2020-11-22,5067
2020-11-23,6411
2020-11-24,6694
2020-11-25,5332
2020-11-26,1798
2020-11-27,7580
2020-11-28,5548
2020-11-29,5084
2020-11-30,5975
2020-12-01,6272
2020-12-02,6601
2020-12-03,7238
2020-12-04,7624
2020-12-05,7334
2020-12-06,5703
2020-12-07,6740
2020-12-08,6756
2020-12-09,6909
2020-12-10,6930
2020-12-11,8426
2020-12-12,6708
2020-12-13,4993
2020-12-14,6859
2020-12-15,7791
2020-12-16,4590
2020-12-17,4126
2020-12-18,7569
2020-12-19,7197
2020-12-20,4719
2020-12-21,6241
2020-12-22,6744
2020-12-23,6995
2020-12-24,4749
2020-12-25,1457
2020-12-26,5306
2020-12-27,4236
2020-12-28,6098
2020-12-29,6192
2020-12-30,6586
2020-12-31,5842
2021-01-01,2303
2021-01-02,5610
2021-01-03,3396
2021-01-04,6239
2021-01-05,6497
2021-01-06,6913
2021-01-07,6822
2021-01-08,7586
2021-01-09,7249
2021-01-10,4853
2021-01-11,6451
2021-01-12,6696
2021-01-13,6805
2021-01-14,7208
2021-01-15,8130
2021-01-16,8208
2021-01-17,6833
