location_name,street_address,city,latitude,longitude
BioLife Plasma Services,321 W Beaver Ave,State College,40.79128,-77.8637
Bistrozine,409 E Calder Way,State College,40.79786,-77.85613
Black Cat Belly Dance,346 Homan Ave,State College,40.787321,-77.84072
Black Moshannon State Park,4216 Beaver Rd,Philipsburg,40.91222,-78.056693
Black Oak Cemetery,Us Highway 322 And Iona Hollow Lane,Port Matilda,40.830585,-78.086503
Black Walnut Body Works,1620 Zion Rd,Bellefonte,40.915246,-77.733659
Blair Plastic Surgery,1952 Waddle Rd Ste 102,State College,40.815636,-77.899366
Blaise Alexander Chrysler Dodge Jeep Ram FIAT,1080 E College Ave,State College,40.806678,-77.83778
Blaise Alexander Hyundai Service,1703 W College Ave,State College,40.778678,-77.882584
BLAISE ALEXANDER MAZDA,1703 W College Ave,State College,40.778769,-77.882458
Blanchard Church of Christ Cemetery,Beach Street,Blanchard,41.068725,-77.597123
Blessed Kateri Church,3503 Penns Valley Rd,Spring Mills,40.847734,-77.618057
Blue Spring Park,230 Wagner St,Boalsburg,40.776851,-77.797152
Boalsburg Animal Wellness,128 Boal Ave,Boalsburg,40.777896,-77.791903
Boalsburg Car Company,334 Boal Ave,Boalsburg,40.776685,-77.788476
Boalsburg Cemetery,North Church Street And Old Boalsburg Road,Boalsburg,40.776115,-77.793763
Boalsburg Heritage Museum,304 East Main Street,Boalsburg,40.775971,-77.789005
Boats & Bikes at Bald Eagle State Park,182 Marina Rd,Howard,41.0295,-77.653406
Bobby Rahal Honda of State College,2796 W College Ave,State College,40.763831,-77.880582
Bobcat,140 Hawbaker Industrial Dr,State College,40.814079,-77.913888
Bombshell Salon,999 Tyrone Pike,Philipsburg,40.875291,-78.214942
Bonfatto's,401 W High St,Bellefonte,40.911851,-77.782108
Bonfatto's Italian Market and Corner Cafe,401 W High St,Bellefonte,40.911868,-77.782089
Boring Court Reporting,121 Charles St,Centre Hall,40.840172,-77.67522
Bosch Service,601 W College Ave,State College,40.790017,-77.867904
Botamer Financial,711 Kennard Rd,State College,40.781097,-77.807783
Boutselis Mary A PHD,315 S Allen St,State College,40.792411,-77.857774
Bower Hollow School,248 Bower Hollow Rd,Aaronsburg,40.882391,-77.420376
Boyer & Ritter,1600 University Dr,State College,40.78576,-77.838271
Braden Social Media,291 Governors Park Rd Ste B,Bellefonte,40.910961,-77.751264
Bradley Ennis DC,1526 N Atherton St Ste 200,Park Forest Village,40.806569,-77.89092
Bradley's Book Outlet,2901 E College Ave,State College,40.833138,-77.800868
Bradley's Cheesesteaks & Hoagies,1669 N Atherton St,State College,40.808457,-77.896625
Bradleys Cheesesteaks & Hoagies,119 S Pugh St,State College,40.795072,-77.859889
Brazilian Explosion,206 W College Ave,State College,40.793201,-77.862806
Brazilian Munchies,222 N Ridge St,Bellefonte,40.914613,-77.775616
Breon's,330 S Main St,Pleasant Gap,40.865236,-77.735168
Breons Heating and Air Conditioning,2610B Clyde Ave Ste A,State College,40.827046,-77.804557
Bressler Philip C PHD,320 Rolling Ridge Dr,State College,40.787136,-77.827952
Brewsky's Bottle Shop,222 W Beaver Ave,State College,40.79179,-77.861931
Brian K Stennett Sr Nationwide Insurance,117 N Allegheny St,Bellefonte,40.912478,-77.778331
Brian Rater Jacki Hunt of RE MAX Centre Realty,1375 Martin St,Park Forest Village,40.801865,-77.886205
Bricks 4 Kidz,2738 W College Ave,State College,40.765415,-77.88288
BrightStar Care,1969 Cato Ave,State College,40.763769,-77.878945
BrightStar Care Happy Valley,1402 S Atherton St Ste 210,State College,40.784388,-77.841003
Brink Barry R PHD,830 Fairway Rd,State College,40.796745,-77.879897
Bronze Tanning Company,319 E Beaver Ave,State College,40.796163,-77.857011
Brooks Auto Repair,4210 Nittany Valley Dr,Nittany,41.000069,-77.552923
Brookside Wesleyan Church,403 Bush Hollow Rd,Julian,40.923401,-77.867572
Brother's Pizza,221 N Front St,Philipsburg,40.897492,-78.224277
Brother's Pizza,101 E Plank Rd,Port Matilda,40.800651,-78.053318
Brother's Pizza,1950 Halfmoon Valley Rd,Stormstown,40.794214,-78.014441
Brother's Pizza,238 W Hamilton Ave,State College,40.787339,-77.856214
Brother's Pizza,783 S Eagle Valley Rd,Bellefonte,40.935123,-77.812475
Brother's Pizza of Howard,102 E Main St,Howard,41.015127,-77.66057
Brothers NY Style Pizzeria,102 N Allegheny St,Bellefonte,40.912454,-77.777886
Brothers Pizza,248 Nittany Valley Dr,Zion,40.919476,-77.675092
Brothers Pizza & Sub,Olive & 4 St,Snow Shoe,41.030809,-77.949563
Brothers Pizza and Pasta,253 Benner Pike,State College,40.829153,-77.806453
Brothers Pizza of Centre Hall,239 N Pennsylvania Ave,Centre Hall,40.847923,-77.687811
Brow Threading 17,103 S Pugh St,State College,40.795263,-77.860129
Brown Cemetery,Sunnyside Hollow Road And Ardery Hollow Road,Port Matilda,40.846889,-78.042977
Brown David J,1001 University Dr Ste 4,State College,40.79733,-77.84347
Brummert Family Chiropractic,3051 Enterprise Dr,State College,40.765473,-77.88089
Brungart Cemetery,Bush Valley Road And Krape Farm Lane,Rebersburg,40.970721,-77.344394
Brungo Family Dentistry,100 Oakwood Ave Ste 200,State College,40.815386,-77.896866
Brush Mountain Archery,455 Brush Mountain Rd,Spring Mills,40.888511,-77.558202
Brush Mountain Welding,124 East St,Madisonburg,40.926132,-77.515556
Bryce Jordan Center,127 Bryce Jordan Center 127 University Drive,State College,40.811477,-77.857079
Bryce Jordan Center,127 Bryce Jordan Ctr,University Park,40.808182,-77.855624
Budget Rent A Car,2493 Fox Hill Rd,State College,40.851255,-77.850822
Builders FirstSource,250 Runville Rd,Bellefonte,40.939065,-77.820617
Burger King,The Pennsylvania State University,State College,40.799185,-77.859782
Burger King,2501 E College Ave,Houserville,40.826942,-77.808876
Burger King,901 E Bishop St,Bellefonte,40.914435,-77.761756
Burkholder's Country Market,107 Market Dr,Spring Mills,40.88589,-77.492452
Burtch Faye A Lmt,293 Nimitz Ave,State College,40.788366,-77.843921
Bush Hollow Cemetery,Bush Hollow Road And Kauffman Lane,Julian,40.936536,-77.876855
